Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Monthly_Income,Salary_Band,Tenure_Years,Tenure_Band,Job_Satisfaction,Work_Life_Balance,Overtime,Distance_From_Home,Performance_Rating,Training_Times_Last_Year,Promotion_Last_2_Years,Attrition,Attrition_Flag
E0022,39,Female,IT,System Admin,College,Single,63521,Medium,0,0-1 Year,2,4,No,1,3,2,No,No,0
E0023,32,Male,Research & Development,Research Scientist,Below College,Single,70682,High,3,2-3 Years,4,3,Yes,10,4,6,No,No,0
E0024,28,Female,IT,Data Analyst,Master,Single,97824,High,5,4-7 Years,3,1,No,4,4,2,Yes,Yes,1
E0025,20,Female,Research & Development,R&D Manager,College,Divorced,81460,High,0,0-1 Year,4,1,Yes,17,4,4,No,No,0
E0026,51,Female,Research & Development,Research Scientist,Master,Married,56857,Medium,4,4-7 Years,1,3,No,17,3,3,No,Yes,1
E0027,28,Male,Operations,Operations Manager,Master,Married,45008,Medium,3,2-3 Years,3,2,Yes,14,4,4,No,Yes,1
E0028,35,Male,Customer Support,Customer Success Manager,College,Single,45114,Medium,3,2-3 Years,3,1,No,27,4,1,No,Yes,1
E0029,20,Female,IT,Software Engineer,Doctorate,Married,86696,High,3,2-3 Years,2,2,No,21,3,6,No,Yes,1
E0030,37,Male,Research & Development,Lab Technician,College,Married,57623,Medium,0,0-1 Year,3,4,No,20,4,4,No,No,0
E0031,21,Male,Operations,Process Lead,College,Single,57379,Medium,2,2-3 Years,4,2,No,9,3,5,No,No,0
E0032,29,Male,Sales,Regional Manager,Below College,Married,26483,Low,0,0-1 Year,4,4,No,2,3,3,No,No,0
E0033,33,Male,Customer Support,Customer Success Manager,College,Married,40348,Medium,2,2-3 Years,4,2,No,16,3,3,No,No,0
E0034,43,Male,Customer Support,Support Executive,Bachelor,Single,54294,Medium,11,8+ Years,1,1,No,21,3,6,No,Yes,1
E0035,30,Male,Research & Development,Product Analyst,Below College,Divorced,107594,High,2,2-3 Years,4,1,No,24,3,2,No,Yes,1
E0036,39,Male,IT,System Admin,Below College,Married,48666,Medium,1,0-1 Year,1,2,No,15,3,6,No,No,0
E0037,37,Female,Operations,Operations Manager,Bachelor,Married,45616,Medium,0,0-1 Year,4,4,No,23,3,4,No,Yes,1
E0038,38,Male,Customer Support,Customer Success Manager,Bachelor,Married,26303,Low,4,4-7 Years,4,3,Yes,3,3,2,Yes,No,0
E0039,31,Male,Finance,Auditor,Bachelor,Single,49920,Medium,6,4-7 Years,3,4,No,15,3,5,No,No,0
E0040,34,Male,Customer Support,Support Executive,Bachelor,Married,31906,Low,5,4-7 Years,4,3,No,6,3,2,No,No,0
E0041,44,Male,Human Resources,Recruiter,Bachelor,Single,57014,Medium,3,2-3 Years,4,4,No,15,4,0,No,No,0
E0042,22,Male,Research & Development,R&D Manager,College,Married,78565,High,2,2-3 Years,3,2,Yes,4,4,2,Yes,Yes,1
E0043,30,Female,Operations,Logistics Coordinator,Below College,Single,18000,Low,3,2-3 Years,1,2,No,10,3,1,No,Yes,1
E0044,25,Female,Human Resources,Recruiter,Below College,Single,27020,Low,0,0-1 Year,3,4,Yes,16,3,1,No,No,0
E0045,23,Male,Customer Support,Team Lead,Doctorate,Married,38485,Medium,1,0-1 Year,3,1,Yes,8,3,6,No,No,0
E0046,30,Male,Research & Development,Product Analyst,College,Single,87718,High,2,2-3 Years,1,1,No,25,3,1,No,No,0
E0047,30,Female,Sales,Regional Manager,College,Married,31821,Low,0,0-1 Year,3,4,No,3,3,2,No,No,0
E0048,23,Male,Research & Development,Lab Technician,Doctorate,Single,31626,Low,0,0-1 Year,3,3,Yes,15,3,5,No,Yes,1
E0049,20,Female,Human Resources,HR Executive,Master,Single,31341,Low,2,2-3 Years,2,1,Yes,25,3,2,No,Yes,1
E0050,42,Male,IT,System Admin,Master,Single,83997,High,8,8+ Years,4,3,No,14,3,5,Yes,No,0
E0051,37,Male,Customer Support,Customer Success Manager,Master,Single,38789,Medium,1,0-1 Year,4,1,Yes,22,4,3,No,Yes,1
E0052,36,Female,Finance,Financial Analyst,Master,Single,97018,High,13,8+ Years,4,1,No,1,4,4,No,Yes,1
E0053,30,Male,Sales,Sales Executive,Doctorate,Single,60910,Medium,8,8+ Years,3,3,No,14,4,3,No,No,0
E0054,38,Other,Operations,Operations Manager,Doctorate,Married,51619,Medium,7,4-7 Years,3,1,No,10,4,6,No,Yes,1
E0055,24,Female,Human Resources,HR Manager,Master,Married,40881,Medium,2,2-3 Years,2,4,No,8,4,3,Yes,No,0
E0056,31,Male,IT,System Admin,Below College,Married,75557,High,3,2-3 Years,1,4,No,4,3,3,Yes,No,0
E0057,27,Male,Research & Development,R&D Manager,Bachelor,Married,93645,High,5,4-7 Years,4,3,No,21,4,6,No,No,0
E0058,30,Female,IT,Software Engineer,College,Single,82596,High,5,4-7 Years,4,2,No,23,3,0,Yes,No,0
E0059,21,Male,Research & Development,Product Analyst,Below College,Married,49607,Medium,0,0-1 Year,4,2,No,16,4,1,No,No,0
E0060,43,Male,Customer Support,Team Lead,Master,Married,27178,Low,0,0-1 Year,3,3,No,21,4,5,No,Yes,1
E0061,34,Female,Customer Support,Support Executive,Doctorate,Married,56288,Medium,4,4-7 Years,3,1,No,27,3,2,Yes,No,0
E0062,34,Female,Operations,Logistics Coordinator,Below College,Married,52006,Medium,8,8+ Years,2,3,Yes,22,4,6,No,No,0
E0063,41,Male,Research & Development,Product Analyst,Bachelor,Divorced,65442,Medium,0,0-1 Year,3,4,No,6,3,6,No,No,0
E0064,50,Male,Customer Support,Team Lead,Master,Married,54148,Medium,17,8+ Years,3,1,No,15,4,1,No,No,0
E0065,40,Female,IT,Data Analyst,Below College,Single,82352,High,1,0-1 Year,3,3,Yes,19,3,5,No,Yes,1
E0066,38,Male,Finance,Finance Manager,Doctorate,Married,49469,Medium,0,0-1 Year,3,4,No,4,3,0,No,Yes,1
E0067,20,Female,Sales,Regional Manager,College,Single,72701,High,3,2-3 Years,2,4,No,21,3,3,No,No,0
E0068,36,Female,Research & Development,Lab Technician,Doctorate,Single,64738,Medium,5,4-7 Years,3,1,No,13,3,0,No,No,0
E0069,35,Male,IT,Software Engineer,Doctorate,Married,55744,Medium,0,0-1 Year,1,2,No,19,3,6,No,No,0
E0070,43,Male,Sales,Sales Representative,Master,Single,58170,Medium,8,8+ Years,1,2,Yes,1,3,6,No,Yes,1
E0071,20,Female,Human Resources,HR Executive,Below College,Single,45034,Medium,0,0-1 Year,2,1,No,24,4,6,No,No,0
E0072,38,Male,Sales,Regional Manager,Doctorate,Single,34123,Low,0,0-1 Year,4,1,No,29,3,4,No,No,0
E0073,26,Female,Human Resources,HR Manager,College,Married,54593,Medium,1,0-1 Year,4,1,No,26,4,6,No,No,0
E0074,21,Female,Research & Development,Lab Technician,Below College,Single,78773,High,0,0-1 Year,3,3,No,12,4,5,No,No,0
E0075,37,Male,Research & Development,R&D Manager,Bachelor,Married,48712,Medium,4,4-7 Years,3,1,No,14,3,5,No,Yes,1
E0076,41,Female,Finance,Finance Manager,Doctorate,Married,66104,Medium,0,0-1 Year,1,3,No,28,3,0,No,No,0
E0077,24,Male,IT,Software Engineer,Below College,Married,51842,Medium,0,0-1 Year,3,3,Yes,12,3,6,No,Yes,1
E0078,27,Female,Sales,Sales Representative,Master,Single,54722,Medium,0,0-1 Year,3,1,No,29,3,1,No,Yes,1
E0079,27,Female,Operations,Process Lead,College,Married,40319,Medium,1,0-1 Year,3,4,No,4,3,5,No,No,0
E0080,40,Female,Research & Development,Research Scientist,College,Single,64509,Medium,1,0-1 Year,3,3,Yes,11,3,3,No,No,0
E0081,48,Female,Human Resources,HR Manager,Below College,Single,52236,Medium,0,0-1 Year,1,3,Yes,19,3,3,No,Yes,1
E0082,37,Male,IT,System Admin,Bachelor,Single,58605,Medium,8,8+ Years,1,4,No,28,3,3,No,No,0
E0083,44,Male,Research & Development,Lab Technician,Doctorate,Single,78751,High,3,2-3 Years,3,3,Yes,24,4,5,No,Yes,1
E0084,40,Male,Sales,Sales Executive,Bachelor,Married,69860,Medium,3,2-3 Years,4,3,No,28,4,2,Yes,No,0
E0085,27,Female,Finance,Finance Manager,Below College,Single,59788,Medium,3,2-3 Years,3,1,Yes,21,4,6,Yes,No,0
E0086,30,Male,Research & Development,Lab Technician,Master,Single,79766,High,0,0-1 Year,1,3,Yes,23,3,5,No,Yes,1
E0087,22,Male,Human Resources,Recruiter,Doctorate,Married,65446,Medium,2,2-3 Years,1,3,No,3,3,4,No,No,0
E0088,44,Male,Customer Support,Team Lead,Doctorate,Married,64890,Medium,12,8+ Years,4,2,No,20,4,0,No,No,0
E0089,32,Male,Sales,Regional Manager,Doctorate,Single,46671,Medium,1,0-1 Year,3,4,No,7,3,1,No,No,0
E0090,25,Female,Operations,Operations Executive,Bachelor,Married,31306,Low,4,4-7 Years,2,2,No,6,4,6,No,Yes,1
E0091,44,Female,Operations,Operations Manager,Master,Single,54367,Medium,6,4-7 Years,2,2,No,10,4,6,No,No,0
E0092,35,Male,Research & Development,R&D Manager,Doctorate,Divorced,45394,Medium,2,2-3 Years,2,2,Yes,28,3,5,No,No,0
E0093,38,Female,Customer Support,Team Lead,Bachelor,Single,42596,Medium,2,2-3 Years,4,1,No,30,3,3,No,No,0
E0094,32,Female,Research & Development,Research Scientist,Doctorate,Married,88337,High,13,8+ Years,3,2,No,5,3,6,No,No,0
E0095,39,Male,Sales,Sales Executive,Doctorate,Single,46046,Medium,0,0-1 Year,4,1,No,25,3,2,No,No,0
E0096,38,Female,Research & Development,Research Scientist,Doctorate,Single,49922,Medium,3,2-3 Years,2,2,No,10,3,4,No,No,0
E0097,43,Male,IT,Software Engineer,Below College,Married,75510,High,7,4-7 Years,1,4,No,28,3,5,No,No,0
E0098,35,Male,Research & Development,Research Scientist,Master,Single,37558,Medium,2,2-3 Years,3,2,Yes,27,4,3,No,Yes,1
E0099,39,Male,Sales,Sales Representative,Bachelor,Single,47284,Medium,0,0-1 Year,4,4,No,9,3,5,No,No,0
E0100,26,Male,Research & Development,R&D Manager,Below College,Married,72370,High,2,2-3 Years,3,2,No,16,3,2,No,No,0
E0101,27,Female,Research & Development,Lab Technician,Bachelor,Single,57692,Medium,0,0-1 Year,3,4,No,20,4,1,No,Yes,1
E0102,30,Male,Finance,Auditor,Master,Married,122771,High,14,8+ Years,4,3,Yes,17,4,5,Yes,No,0
E0103,35,Female,Sales,Sales Executive,Master,Married,66667,Medium,2,2-3 Years,1,2,No,22,3,2,No,No,0
E0104,34,Other,Research & Development,R&D Manager,Master,Single,81319,High,6,4-7 Years,4,1,No,9,4,5,No,No,0
E0105,39,Male,Sales,Sales Representative,College,Single,53764,Medium,11,8+ Years,1,3,No,22,3,0,No,Yes,1
E0106,37,Other,Customer Support,Customer Success Manager,Below College,Single,77462,High,7,4-7 Years,4,1,Yes,12,3,2,No,No,0
E0107,20,Male,Research & Development,Product Analyst,Doctorate,Married,57221,Medium,0,0-1 Year,3,1,Yes,15,3,4,No,No,0
E0108,20,Male,Sales,Sales Representative,Bachelor,Divorced,56378,Medium,0,0-1 Year,3,2,No,6,3,5,No,No,0
E0109,40,Male,Customer Support,Team Lead,Bachelor,Married,61604,Medium,1,0-1 Year,1,2,No,19,4,1,No,No,0
E0110,49,Female,Customer Support,Customer Success Manager,Bachelor,Married,41151,Medium,0,0-1 Year,3,2,No,25,3,4,No,No,0
E0111,20,Female,Finance,Finance Manager,Bachelor,Single,61576,Medium,2,2-3 Years,1,2,No,15,3,3,Yes,No,0
E0112,34,Male,IT,System Admin,Master,Divorced,46474,Medium,0,0-1 Year,1,3,Yes,15,3,0,No,No,0
E0113,41,Male,Research & Development,Lab Technician,College,Single,35526,Medium,6,4-7 Years,2,4,Yes,17,3,2,No,No,0
E0114,40,Female,Sales,Account Manager,Bachelor,Married,55282,Medium,4,4-7 Years,4,3,No,18,3,0,No,No,0
E0115,29,Male,Sales,Sales Executive,Bachelor,Single,48656,Medium,4,4-7 Years,4,3,Yes,27,4,5,No,No,0
E0116,34,Male,Human Resources,HR Manager,Bachelor,Married,39568,Medium,3,2-3 Years,1,1,No,5,4,6,No,No,0
E0117,46,Male,IT,Data Analyst,Doctorate,Married,131866,High,6,4-7 Years,3,4,No,23,3,3,No,No,0
E0118,28,Female,Research & Development,Research Scientist,College,Married,63199,Medium,5,4-7 Years,2,1,No,19,3,4,No,Yes,1
E0119,37,Female,Sales,Sales Executive,College,Single,61260,Medium,2,2-3 Years,2,4,No,17,4,3,No,Yes,1
E0120,27,Female,Finance,Auditor,Master,Married,52869,Medium,0,0-1 Year,3,3,No,22,4,5,No,Yes,1
E0121,32,Female,Sales,Sales Representative,Bachelor,Divorced,80634,High,14,8+ Years,3,2,No,23,4,2,No,No,0
E0122,40,Female,Sales,Regional Manager,College,Married,40911,Medium,2,2-3 Years,2,3,No,2,3,5,Yes,No,0
E0123,45,Male,Sales,Account Manager,Bachelor,Single,37054,Medium,0,0-1 Year,2,2,No,2,3,4,No,Yes,1
E0124,32,Male,Operations,Operations Executive,Below College,Divorced,69301,Medium,16,8+ Years,2,4,No,21,4,3,No,No,0
E0125,30,Male,IT,Software Engineer,College,Married,69152,Medium,6,4-7 Years,1,2,No,14,4,1,No,No,0
E0126,34,Female,IT,Data Analyst,Bachelor,Single,75329,High,4,4-7 Years,3,3,Yes,15,4,4,No,No,0
E0127,27,Male,Sales,Sales Executive,Master,Married,71853,High,5,4-7 Years,1,3,No,26,3,5,No,No,0
E0128,31,Female,Human Resources,HR Executive,Below College,Single,81072,High,20,8+ Years,2,1,No,9,3,3,No,No,0
E0129,32,Male,Research & Development,R&D Manager,Master,Single,56180,Medium,0,0-1 Year,4,3,No,23,3,2,No,No,0
E0130,25,Male,Sales,Account Manager,Doctorate,Married,58423,Medium,3,2-3 Years,2,2,No,22,4,6,No,Yes,1
E0131,29,Female,Sales,Sales Representative,College,Married,43633,Medium,1,0-1 Year,1,2,No,23,3,0,No,Yes,1
E0132,24,Male,Human Resources,Payroll Specialist,Below College,Single,39719,Medium,2,2-3 Years,4,3,No,27,3,1,No,Yes,1
E0133,43,Male,IT,Software Engineer,Below College,Married,69872,Medium,1,0-1 Year,2,4,Yes,12,4,3,No,Yes,1
E0134,29,Female,Operations,Operations Manager,Master,Married,37000,Medium,0,0-1 Year,2,2,No,27,3,0,No,No,0
E0135,34,Female,Human Resources,Recruiter,College,Married,54639,Medium,1,0-1 Year,1,1,No,26,3,4,No,Yes,1
E0136,22,Female,Sales,Sales Executive,Bachelor,Single,53012,Medium,1,0-1 Year,4,4,No,8,3,6,No,No,0
E0137,21,Male,Research & Development,R&D Manager,College,Married,49824,Medium,1,0-1 Year,2,2,No,14,3,0,No,No,0
E0138,31,Male,Finance,Auditor,College,Married,56959,Medium,2,2-3 Years,4,3,No,23,3,1,No,No,0
E0139,40,Female,Research & Development,Lab Technician,College,Married,33018,Low,4,4-7 Years,2,4,No,8,3,2,No,Yes,1
E0140,28,Female,Sales,Regional Manager,Below College,Single,47806,Medium,10,8+ Years,2,4,Yes,7,4,2,No,Yes,1
E0141,44,Male,Operations,Process Lead,Master,Single,47406,Medium,6,4-7 Years,2,3,No,25,3,3,No,No,0
E0142,34,Male,Research & Development,Product Analyst,Bachelor,Married,48587,Medium,1,0-1 Year,1,2,No,24,3,2,No,No,0
E0143,35,Female,Sales,Account Manager,Bachelor,Married,63036,Medium,1,0-1 Year,3,3,No,25,4,5,No,Yes,1
E0144,40,Male,Sales,Regional Manager,College,Married,110601,High,23,8+ Years,1,1,No,27,3,6,Yes,Yes,1
E0145,26,Male,Sales,Regional Manager,Bachelor,Married,66496,Medium,5,4-7 Years,4,4,No,1,3,4,No,No,0
E0146,40,Female,Sales,Regional Manager,Bachelor,Single,19066,Low,0,0-1 Year,2,2,Yes,7,3,2,No,Yes,1
E0147,20,Male,IT,IT Manager,Below College,Married,46315,Medium,0,0-1 Year,1,1,No,13,3,4,No,No,0
E0148,29,Male,Human Resources,Payroll Specialist,Bachelor,Single,66067,Medium,18,8+ Years,1,2,No,7,4,5,No,Yes,1
E0149,31,Male,Customer Support,Customer Success Manager,Master,Single,46889,Medium,9,8+ Years,2,2,Yes,25,4,6,No,Yes,1
E0150,24,Male,Operations,Logistics Coordinator,Doctorate,Married,61396,Medium,0,0-1 Year,3,1,No,4,3,6,No,No,0
E0151,40,Male,Research & Development,R&D Manager,Below College,Married,107767,High,24,8+ Years,3,4,No,14,3,4,No,No,0
E0152,23,Male,Sales,Sales Representative,College,Single,60097,Medium,0,0-1 Year,1,1,No,1,4,3,No,Yes,1
E0153,36,Female,Research & Development,Product Analyst,College,Married,73746,High,4,4-7 Years,3,4,No,1,3,3,No,No,0
E0154,32,Male,Finance,Accountant,College,Married,48178,Medium,1,0-1 Year,2,1,Yes,6,3,3,No,Yes,1
E0155,29,Female,Operations,Process Lead,Doctorate,Married,42174,Medium,0,0-1 Year,4,3,No,27,3,6,No,No,0
E0156,24,Female,Sales,Account Manager,Bachelor,Married,35067,Medium,1,0-1 Year,3,3,No,24,3,3,No,Yes,1
E0157,21,Male,Customer Support,Team Lead,Master,Married,55333,Medium,1,0-1 Year,1,4,No,23,3,6,No,No,0
E0158,30,Male,Operations,Operations Manager,Master,Divorced,48719,Medium,5,4-7 Years,4,1,No,15,4,3,No,No,0
E0159,29,Male,Human Resources,HR Manager,Master,Divorced,28674,Low,4,4-7 Years,1,2,No,22,3,1,No,No,0
E0160,42,Female,IT,Data Analyst,Below College,Married,65554,Medium,0,0-1 Year,2,4,Yes,12,3,6,No,Yes,1
E0161,20,Male,Human Resources,HR Manager,Master,Single,57134,Medium,0,0-1 Year,3,4,No,26,3,3,No,No,0
E0162,46,Male,Research & Development,R&D Manager,Master,Married,69576,Medium,0,0-1 Year,1,2,No,30,4,1,No,Yes,1
E0163,37,Male,IT,System Admin,College,Married,45404,Medium,1,0-1 Year,4,1,No,24,3,1,No,Yes,1
E0164,21,Female,Sales,Sales Executive,Doctorate,Married,38049,Medium,2,2-3 Years,4,1,No,9,3,3,No,No,0
E0165,40,Male,Sales,Account Manager,Master,Single,44986,Medium,8,8+ Years,3,1,No,22,3,0,No,Yes,1
E0166,26,Male,Research & Development,Lab Technician,Below College,Single,59153,Medium,3,2-3 Years,2,2,No,16,3,1,No,No,0
E0167,42,Female,Human Resources,Recruiter,Below College,Married,19607,Low,3,2-3 Years,4,4,No,23,4,3,Yes,Yes,1
E0168,38,Male,Research & Development,R&D Manager,Master,Married,89514,High,6,4-7 Years,1,1,No,9,4,6,No,No,0
E0169,46,Female,Human Resources,Payroll Specialist,College,Single,66084,Medium,6,4-7 Years,1,4,No,9,3,6,Yes,No,0
E0170,28,Male,Customer Support,Customer Success Manager,Bachelor,Married,24620,Low,4,4-7 Years,2,2,No,27,3,0,No,Yes,1
E0171,43,Male,Research & Development,R&D Manager,Bachelor,Married,75651,High,11,8+ Years,2,4,No,30,3,2,No,No,0
E0172,30,Male,Customer Support,Customer Success Manager,Bachelor,Single,48484,Medium,5,4-7 Years,4,4,No,3,3,6,Yes,No,0
E0173,33,Female,Research & Development,Product Analyst,Bachelor,Married,75680,High,7,4-7 Years,4,3,No,28,3,4,No,No,0
E0174,29,Male,Customer Support,Team Lead,Below College,Married,50638,Medium,9,8+ Years,1,1,No,4,3,6,No,No,0
E0175,37,Male,IT,IT Manager,Below College,Married,98605,High,0,0-1 Year,2,3,No,3,3,2,No,No,0
E0176,31,Male,Research & Development,R&D Manager,Bachelor,Married,36804,Medium,2,2-3 Years,1,1,Yes,7,3,1,No,Yes,1
E0177,30,Male,Customer Support,Team Lead,College,Married,27014,Low,1,0-1 Year,1,1,Yes,11,3,2,No,No,0
E0178,43,Male,Finance,Accountant,College,Single,70460,High,4,4-7 Years,3,2,Yes,21,4,3,No,No,0
E0179,28,Female,Operations,Process Lead,Bachelor,Married,70798,High,7,4-7 Years,1,2,Yes,18,3,5,No,No,0
E0180,33,Female,Sales,Sales Representative,Below College,Single,34454,Low,0,0-1 Year,2,4,No,13,3,3,No,No,0
E0181,44,Male,IT,Data Analyst,Master,Single,105904,High,4,4-7 Years,2,4,No,25,3,4,Yes,Yes,1
E0182,26,Female,Human Resources,Payroll Specialist,Doctorate,Single,56511,Medium,5,4-7 Years,2,3,No,3,3,4,No,No,0
E0183,30,Male,Finance,Financial Analyst,College,Married,97352,High,15,8+ Years,2,1,Yes,30,3,3,No,No,0
E0184,32,Female,Sales,Sales Representative,Bachelor,Single,64809,Medium,15,8+ Years,3,2,No,12,3,6,No,No,0
E0185,27,Male,Customer Support,Team Lead,Doctorate,Single,67224,Medium,18,8+ Years,4,4,No,17,3,3,No,No,0
E0186,35,Male,Operations,Operations Executive,Master,Divorced,62548,Medium,0,0-1 Year,2,1,No,16,3,1,No,Yes,1
E0187,22,Other,Research & Development,Lab Technician,Master,Divorced,75917,High,0,0-1 Year,1,1,No,6,3,4,No,Yes,1
E0188,29,Other,Customer Support,Team Lead,Doctorate,Married,47313,Medium,0,0-1 Year,3,2,Yes,15,3,3,No,No,0
E0189,44,Female,Operations,Operations Manager,Doctorate,Married,71777,High,0,0-1 Year,1,3,No,1,4,3,No,Yes,1
E0190,31,Female,IT,IT Manager,Below College,Single,115344,High,25,8+ Years,1,1,No,30,3,6,No,No,0
E0191,28,Male,Finance,Accountant,Master,Married,50490,Medium,4,4-7 Years,2,2,Yes,10,3,2,No,Yes,1
E0192,38,Male,Research & Development,Research Scientist,Master,Married,71338,High,7,4-7 Years,1,2,Yes,15,3,3,Yes,No,0
E0193,46,Male,Research & Development,Research Scientist,Doctorate,Single,80758,High,1,0-1 Year,1,2,No,27,4,1,No,Yes,1
E0194,32,Female,Sales,Account Manager,College,Single,83450,High,0,0-1 Year,4,2,No,4,3,6,No,Yes,1
E0195,26,Male,Sales,Regional Manager,Bachelor,Single,66784,Medium,5,4-7 Years,3,1,No,1,4,1,No,No,0
E0196,51,Female,Sales,Regional Manager,College,Single,57551,Medium,2,2-3 Years,4,1,No,13,3,1,No,No,0
E0197,28,Female,Sales,Sales Representative,Doctorate,Single,51167,Medium,10,8+ Years,1,3,No,13,3,1,No,No,0
E0198,35,Male,Customer Support,Team Lead,Master,Married,32082,Low,3,2-3 Years,3,4,No,9,3,2,No,Yes,1
E0199,37,Female,Human Resources,Recruiter,College,Divorced,50120,Medium,5,4-7 Years,1,2,Yes,19,4,6,No,Yes,1
E0200,35,Male,Finance,Finance Manager,Doctorate,Single,63904,Medium,6,4-7 Years,2,2,No,27,4,3,No,Yes,1
E0201,51,Female,Sales,Regional Manager,Doctorate,Single,46920,Medium,1,0-1 Year,2,3,Yes,2,3,4,No,Yes,1
E0202,20,Female,Customer Support,Support Executive,College,Divorced,53154,Medium,0,0-1 Year,3,2,No,6,4,3,No,No,0
E0203,35,Female,Operations,Logistics Coordinator,Doctorate,Single,64300,Medium,0,0-1 Year,3,2,No,6,4,5,No,No,0
E0204,52,Male,Sales,Account Manager,Below College,Single,31096,Low,1,0-1 Year,4,2,No,11,4,1,No,No,0
E0205,23,Male,Customer Support,Customer Success Manager,Master,Married,23468,Low,2,2-3 Years,1,3,Yes,9,4,5,Yes,No,0
E0206,29,Male,Human Resources,Payroll Specialist,Bachelor,Single,65577,Medium,8,8+ Years,2,2,No,15,3,6,Yes,Yes,1
E0207,35,Female,Sales,Regional Manager,College,Single,74416,High,14,8+ Years,3,4,No,23,3,5,Yes,Yes,1
E0208,29,Female,IT,IT Manager,Master,Single,51147,Medium,6,4-7 Years,3,3,Yes,8,3,3,No,No,0
E0209,34,Male,Sales,Regional Manager,Below College,Married,47734,Medium,0,0-1 Year,1,4,No,28,3,6,No,No,0
E0210,40,Male,Finance,Auditor,Below College,Married,88014,High,2,2-3 Years,3,4,No,15,3,6,No,No,0
E0211,44,Male,Operations,Process Lead,Doctorate,Married,50984,Medium,4,4-7 Years,4,4,No,19,4,3,No,Yes,1
E0212,43,Other,IT,System Admin,College,Married,92617,High,0,0-1 Year,2,2,No,5,3,0,No,No,0
E0213,28,Male,Customer Support,Team Lead,Master,Married,65109,Medium,8,8+ Years,4,3,Yes,28,3,3,No,No,0
E0214,40,Female,Sales,Sales Representative,Doctorate,Single,71061,High,7,4-7 Years,1,1,No,26,3,4,No,No,0
E0215,37,Male,Finance,Financial Analyst,Bachelor,Married,76009,High,4,4-7 Years,4,1,No,13,4,2,No,No,0
E0216,28,Male,Sales,Account Manager,Below College,Married,83684,High,9,8+ Years,2,2,No,10,4,3,No,No,0
E0217,41,Male,Sales,Sales Representative,Doctorate,Single,43732,Medium,3,2-3 Years,3,1,No,17,4,0,No,No,0
E0218,37,Female,Sales,Sales Representative,Below College,Married,39042,Medium,0,0-1 Year,1,3,Yes,23,3,2,No,No,0
E0219,26,Female,Operations,Operations Manager,Master,Married,59692,Medium,0,0-1 Year,3,3,No,6,4,2,No,No,0
